
Starting Episode:  130 , Epsilon Now:  0.958 , Reward:  62.98 , Average Reward:  103.63
Starting Episode:  131 , Epsilon Now:  0.958 , Reward:  88.56 , Average Reward:  103.51
Starting Episode:  132 , Epsilon Now:  0.958 , Reward:  81.73 , Average Reward:  103.35
Starting Episode:  133 , Epsilon Now:  0.957 , Reward:  179.93 , Average Reward:  103.93
Starting Episode:  134 , Epsilon Now:  0.957 , Reward:  437.03 , Average Reward:  106.41
Starting Episode:  135 , Epsilon Now:  0.956 , Reward:  168.59 , Average Reward:  106.87
Starting Episode:  136 , Epsilon Now:  0.955 , Reward:  43.16 , Average Reward:  106.40
Starting Episode:  137 , Epsilon Now:  0.955 , Reward:  104.65 , Average Reward:  106.39
Starting Episode:  138 , Epsilon Now:  0.955 , Reward:  98.40 , Average Reward:  106.33
Starting Episode:  139 , Epsilon Now:  0.955 , Reward:  28.33 , Average Reward:  105.77
Starting Episode:  140 , Epsilon Now:  0.954 , Reward:  65.12 , Average Reward:  105.48
Starting Episode:  141 , Epsilon Now:  0.954 , Reward:  -8.36 , Average Reward:  104.67
Starting Episode:  142 , Epsilon Now:  0.954 , Reward:  58.90 , Average Reward:  104.35
Starting Episode:  143 , Epsilon Now:  0.954 , Reward:  157.44 , Average Reward:  104.72
Starting Episode:  144 , Epsilon Now:  0.953 , Reward:  151.10 , Average Reward:  105.04
Starting Episode:  145 , Epsilon Now:  0.953 , Reward:  139.79 , Average Reward:  105.28
Starting Episode:  146 , Epsilon Now:  0.953 , Reward:  13.63 , Average Reward:  104.66
Starting Episode:  147 , Epsilon Now:  0.952 , Reward:  51.17 , Average Reward:  104.29
Starting Episode:  148 , Epsilon Now:  0.952 , Reward:  -8.72 , Average Reward:  103.53
Starting Episode:  149 , Epsilon Now:  0.952 , Reward:  207.57 , Average Reward:  104.23
Starting Episode:  150 , Epsilon Now:  0.951 , Reward:  83.27 , Average Reward:  104.09
Starting Episode:  151 , Epsilon Now:  0.951 , Reward:  53.48 , Average Reward:  103.75
Starting Episode:  152 , Epsilon Now:  0.951 , Reward:  36.03 , Average Reward:  103.31
Starting Episode:  153 , Epsilon Now:  0.951 , Reward:  15.85 , Average Reward:  102.74
Starting Episode:  154 , Epsilon Now:  0.951 , Reward:  193.09 , Average Reward:  103.32
Starting Episode:  155 , Epsilon Now:  0.950 , Reward:  28.38 , Average Reward:  102.84
Starting Episode:  156 , Epsilon Now:  0.950 , Reward:  432.79 , Average Reward:  104.95
Starting Episode:  157 , Epsilon Now:  0.949 , Reward:  40.62 , Average Reward:  104.54
Starting Episode:  158 , Epsilon Now:  0.949 , Reward:  137.74 , Average Reward:  104.75
Starting Episode:  159 , Epsilon Now:  0.949 , Reward:  33.17 , Average Reward:  104.30
Starting Episode:  160 , Epsilon Now:  0.948 , Reward:  31.27 , Average Reward:  103.85
Starting Episode:  162 , Epsilon Now:  0.948 , Reward:  53.25 , Average Reward:  103.53
Starting Episode:  163 , Epsilon Now:  0.948 , Reward:  47.88 , Average Reward:  103.19
Starting Episode:  164 , Epsilon Now:  0.948 , Reward:  71.57 , Average Reward:  103.00
Starting Episode:  165 , Epsilon Now:  0.947 , Reward:  27.78 , Average Reward:  102.54
Starting Episode:  166 , Epsilon Now:  0.947 , Reward:  55.04 , Average Reward:  102.25
Starting Episode:  167 , Epsilon Now:  0.947 , Reward:  163.29 , Average Reward:  102.62
Starting Episode:  168 , Epsilon Now:  0.946 , Reward:  199.09 , Average Reward:  103.19
Starting Episode:  169 , Epsilon Now:  0.946 , Reward:  40.76 , Average Reward:  102.829
Starting Episode:  170 , Epsilon Now:  0.946 , Reward:  184.90 , Average Reward:  103.31
Starting Episode:  171 , Epsilon Now:  0.945 , Reward:  62.67 , Average Reward:  103.071
Starting Episode:  172 , Epsilon Now:  0.945 , Reward:  32.47 , Average Reward:  102.661
Starting Episode:  173 , Epsilon Now:  0.945 , Reward:  105.99 , Average Reward:  102.68
Starting Episode:  174 , Epsilon Now:  0.944 , Reward:  173.02 , Average Reward:  103.08
Starting Episode:  175 , Epsilon Now:  0.944 , Reward:  332.51 , Average Reward:  104.40
Starting Episode:  176 , Epsilon Now:  0.944 , Reward:  8.74 , Average Reward:  103.8540
Starting Episode:  177 , Epsilon Now:  0.943 , Reward:  22.50 , Average Reward:  103.390
Starting Episode:  178 , Epsilon Now:  0.943 , Reward:  65.40 , Average Reward:  103.180
Starting Episode:  179 , Epsilon Now:  0.943 , Reward:  101.94 , Average Reward:  103.17
Starting Episode:  180 , Epsilon Now:  0.942 , Reward:  72.34 , Average Reward:  103.007
Starting Episode:  181 , Epsilon Now:  0.942 , Reward:  35.70 , Average Reward:  102.627
Starting Episode:  182 , Epsilon Now:  0.942 , Reward:  149.13 , Average Reward:  102.88
Starting Episode:  183 , Epsilon Now:  0.942 , Reward:  90.17 , Average Reward:  102.818
Starting Episode:  184 , Epsilon Now:  0.941 , Reward:  127.61 , Average Reward:  102.95
Starting Episode:  185 , Epsilon Now:  0.940 , Reward:  298.19 , Average Reward:  104.01
Starting Episode:  186 , Epsilon Now:  0.940 , Reward:  68.15 , Average Reward:  103.811
Starting Episode:  187 , Epsilon Now:  0.940 , Reward:  187.72 , Average Reward:  104.27
Starting Episode:  188 , Epsilon Now:  0.939 , Reward:  52.97 , Average Reward:  103.997
Starting Episode:  189 , Epsilon Now:  0.939 , Reward:  118.38 , Average Reward:  104.07
Starting Episode:  190 , Epsilon Now:  0.939 , Reward:  206.06 , Average Reward:  104.61
Starting Episode:  191 , Epsilon Now:  0.938 , Reward:  -9.77 , Average Reward:  104.011
Starting Episode:  192 , Epsilon Now:  0.938 , Reward:  57.32 , Average Reward:  103.761
Starting Episode:  193 , Epsilon Now:  0.938 , Reward:  123.31 , Average Reward:  103.86
Starting Episode:  194 , Epsilon Now:  0.938 , Reward:  43.40 , Average Reward:  103.556
Starting Episode:  195 , Epsilon Now:  0.937 , Reward:  58.38 , Average Reward:  103.326
Starting Episode:  196 , Epsilon Now:  0.937 , Reward:  102.48 , Average Reward:  103.31
Starting Episode:  197 , Epsilon Now:  0.937 , Reward:  112.14 , Average Reward:  103.36
Starting Episode:  198 , Epsilon Now:  0.937 , Reward:  78.93 , Average Reward:  103.236
Starting Episode:  199 , Epsilon Now:  0.936 , Reward:  184.66 , Average Reward:  103.64
Starting Episode:  200 , Epsilon Now:  0.936 , Reward:  24.36 , Average Reward:  103.254
Starting Episode:  201 , Epsilon Now:  0.936 , Reward:  93.90 , Average Reward:  103.204
Starting Episode:  202 , Epsilon Now:  0.935 , Reward:  76.37 , Average Reward:  103.074
Starting Episode:  203 , Epsilon Now:  0.935 , Reward:  100.27 , Average Reward:  103.05
Starting Episode:  204 , Epsilon Now:  0.934 , Reward:  227.77 , Average Reward:  103.67
Starting Episode:  205 , Epsilon Now:  0.934 , Reward:  -9.09 , Average Reward:  103.117
Starting Episode:  206 , Epsilon Now:  0.934 , Reward:  98.04 , Average Reward:  103.097
Starting Episode:  207 , Epsilon Now:  0.934 , Reward:  42.43 , Average Reward:  102.797
Starting Episode:  208 , Epsilon Now:  0.934 , Reward:  26.20 , Average Reward:  102.427
Starting Episode:  209 , Epsilon Now:  0.933 , Reward:  22.42 , Average Reward:  102.047
Starting Episode:  210 , Epsilon Now:  0.933 , Reward:  84.35 , Average Reward:  101.967
Starting Episode:  211 , Epsilon Now:  0.933 , Reward:  66.56 , Average Reward:  101.797
Starting Episode:  212 , Epsilon Now:  0.933 , Reward:  32.21 , Average Reward:  101.467
Starting Episode:  213 , Epsilon Now:  0.932 , Reward:  57.08 , Average Reward:  101.257
Starting Episode:  214 , Epsilon Now:  0.932 , Reward:  51.37 , Average Reward:  101.017
Starting Episode:  215 , Epsilon Now:  0.932 , Reward:  29.43 , Average Reward:  100.687
Starting Episode:  216 , Epsilon Now:  0.932 , Reward:  16.20 , Average Reward:  100.297
Starting Episode:  217 , Epsilon Now:  0.932 , Reward:  61.62 , Average Reward:  100.117
Starting Episode:  218 , Epsilon Now:  0.931 , Reward:  130.31 , Average Reward:  100.25
Starting Episode:  219 , Epsilon Now:  0.931 , Reward:  62.97 , Average Reward:  100.085
Starting Episode:  220 , Epsilon Now:  0.931 , Reward:  87.39 , Average Reward:  100.025
Starting Episode:  221 , Epsilon Now:  0.931 , Reward:  43.88 , Average Reward:  99.7625
Starting Episode:  222 , Epsilon Now:  0.930 , Reward:  25.04 , Average Reward:  99.4225
Starting Episode:  223 , Epsilon Now:  0.930 , Reward:  137.47 , Average Reward:  99.605
Starting Episode:  224 , Epsilon Now:  0.930 , Reward:  33.84 , Average Reward:  99.3005
Starting Episode:  225 , Epsilon Now:  0.929 , Reward:  93.78 , Average Reward:  99.2805
Starting Episode:  226 , Epsilon Now:  0.929 , Reward:  41.17 , Average Reward:  99.0205
Starting Episode:  227 , Epsilon Now:  0.929 , Reward:  -9.56 , Average Reward:  98.5405
Starting Episode:  228 , Epsilon Now:  0.929 , Reward:  44.77 , Average Reward:  98.3005
Starting Episode:  229 , Epsilon Now:  0.929 , Reward:  73.91 , Average Reward:  98.1905
Starting Episode:  230 , Epsilon Now:  0.928 , Reward:  62.02 , Average Reward:  98.0405
Starting Episode:  231 , Epsilon Now:  0.928 , Reward:  51.92 , Average Reward:  97.8405
Starting Episode:  232 , Epsilon Now:  0.928 , Reward:  56.03 , Average Reward:  97.6505
Starting Episode:  233 , Epsilon Now:  0.928 , Reward:  25.25 , Average Reward:  97.3405
Starting Episode:  234 , Epsilon Now:  0.928 , Reward:  20.46 , Average Reward:  97.0105
Starting Episode:  235 , Epsilon Now:  0.927 , Reward:  -9.56 , Average Reward:  96.5605
Starting Episode:  236 , Epsilon Now:  0.927 , Reward:  44.45 , Average Reward:  96.3305
Starting Episode:  237 , Epsilon Now:  0.927 , Reward:  99.11 , Average Reward:  96.3505
Starting Episode:  238 , Epsilon Now:  0.927 , Reward:  122.70 , Average Reward:  96.465
Starting Episode:  239 , Epsilon Now:  0.926 , Reward:  40.59 , Average Reward:  96.2265
Starting Episode:  240 , Epsilon Now:  0.926 , Reward:  -8.75 , Average Reward:  95.7865
Starting Episode:  241 , Epsilon Now:  0.926 , Reward:  21.22 , Average Reward:  95.4765
Starting Episode:  242 , Epsilon Now:  0.926 , Reward:  65.30 , Average Reward:  95.3565
Starting Episode:  243 , Epsilon Now:  0.926 , Reward:  23.72 , Average Reward:  95.0565
Starting Episode:  244 , Epsilon Now:  0.925 , Reward:  9.79 , Average Reward:  94.70565
Starting Episode:  245 , Epsilon Now:  0.925 , Reward:  44.26 , Average Reward:  94.4965
Starting Episode:  246 , Epsilon Now:  0.925 , Reward:  131.63 , Average Reward:  94.655
