episode,timestep,reward
234,85868,79.77623703684513
235,86102,79.46728771937234
236,86427,79.2541228247113
237,86587,78.90676866493423
238,86875,78.65669207877649
239,87068,78.37331434617576
240,87322,78.13686868763064
241,87538,77.87376799498406
242,87834,77.6952881751488
243,88092,77.49915337976235
244,88369,77.3213694371052
245,88618,77.06362073282871
246,88825,76.77298113128502
247,89021,76.46111325832952
248,89274,76.20837212117823
249,89472,75.92912601331622
250,89709,75.70940470653889
251,89932,75.46329589492535
252,90106,75.17706024366726
253,90400,75.05327750493983
254,90637,74.87710380538772
255,90860,74.67350580113762
256,91111,74.50654975969363
257,91346,74.27771672314181
258,91648,74.10387010556825
259,91870,73.86688066206369
260,92108,73.6409415149016
261,92380,73.4944508286023
262,92678,73.3278839749513
263,92890,73.07384432006661
264,93131,72.86416860477378
265,93369,72.62990890039099
266,93668,72.50324602812397
267,93976,72.34971547465142
268,94248,72.20083900475488
269,94470,71.95130226273865
270,94786,71.7863697111093
271,95020,71.53539368575717
272,95306,71.34548906655084
273,95533,71.1275606155004
274,95799,71.02308125849042
275,96116,70.94066519622879
276,96427,70.84303500019692
277,96769,70.7471822281151
278,97059,70.59659279022807
279,97277,70.34156607831159
280,97536,70.13078369593605
281,97873,70.00704388212107
282,98120,69.77899909754655
283,98411,69.62872898583636
284,98701,69.48163557380377
285,98937,69.27630733430844
286,99184,69.12572476207258
287,99457,68.94697718179002
288,99656,68.71760182063213
289,99908,68.52456390663798
290,100054,68.25404449032543
291,100284,68.0567716241155
292,100535,67.87133523990117
293,100833,67.78091943402464
294,101124,67.69338557691752
295,101398,67.52520035080394
296,101677,67.41234292735275
297,101928,67.19749681524108
298,102233,67.11816412432032
299,102485,66.95828185388204
300,102724,66.76349898726752
301,102967,66.58930127541441
302,103257,66.4942066662439
303,103569,66.32649018899464
304,103871,66.30747606686928
305,104174,66.24753890078588
306,104497,66.16460095158362
307,104736,65.99362110046685
308,105047,65.94347657268382
309,105322,65.82264743683645
310,105590,65.69678339021169
311,105907,65.59314036034715
312,106118,65.39762688623574
313,106377,65.25054847920056
314,106625,65.0814928887189
315,106847,64.92503911481333
